Município;State;Municipality; Gross Rol [%] ; Gross Rol [%] ;Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1 ;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2 ;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Agua Boa - MT;mato grosso;Agua Boa; 4,88 ;4,88%;10-15 / 12-15;5;0; 339 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 737,91 ; R$ 714,29 
Alto Araguaia - MT;mato grosso;Alto Araguaia; 4,88 ;4,88%;10-15 / 12-15;5;0; 272 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 920,25 ; R$ 714,29 
Alto Garcas - MT;mato grosso;Alto Garcas; 4,88 ;4,88%;10-15 / 12-15;5;0; 299 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 834,95 ; R$ 714,29 
Alto Taquari - MT;mato grosso;Alto Taquari; 4,88 ;4,88%;10-15 / 12-15;5;0; 233 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.072,12 ; R$ 714,29 
Barra Do Garcas - MT;mato grosso;Barra Do Garcas; 4,88 ;4,88%;10-15 / 12-15;5;0; 298 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 837,75 ; R$ 714,29 
Bom Jesus Do Araguaia - MT;mato grosso;Bom Jesus Do Araguaia; 4,88 ;4,88%;10-15 / 12-15;5;0; 319 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 784,29 ; R$ 714,29 
Campo Novo Do Parecis - MT;mato grosso;Campo Novo Do Parecis; 4,88 ;4,88%;10-15 / 12-15;5;0; 260 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 961,74 ; R$ 714,29 
Campo Verde - MT;mato grosso;Campo Verde; 4,88 ;4,88%;10-15 / 12-15;5;0; 248 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.009,46 ; R$ 714,29 
Canabrava Do Norte - MT;mato grosso;Canabrava Do Norte; 4,88 ;4,88%;10-15 / 12-15;5;0; 324 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 772,16 ; R$ 714,29 
Canarana - MT;mato grosso;Canarana; 4,88 ;4,88%;10-15 / 12-15;5;0; 339 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 737,73 ; R$ 714,29 
